Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
eval/eval,6.97362324714755e-4,6.819598404788909e-4,7.608313981419859e-4,7.778925643045628e-5,4.5900502301815285e-5,1.426940988536923e-4
eval/opt,6.424139191825787e-3,6.374777283184043e-3,6.491710893925891e-3,1.802270933832808e-4,1.4535823404712635e-4,2.4325122587718598e-4
eval/opt2,9.469158413028748e-4,8.926952236438289e-4,1.077179504972845e-3,2.367866082815491e-4,1.1394841530736142e-4,4.0913434584097187e-4
isZero/isZeroHs,9.716263569444913e-9,9.36836845751583e-9,1.0138812843743637e-8,1.323382520460266e-9,1.0175637704247996e-9,1.8522006196430496e-9
isZero/*isZeroExp,1.2654355684195141e-7,1.2089366786721513e-7,1.3221845927333533e-7,1.876772280736954e-8,1.3702063844960016e-8,2.9558282343384863e-8
isZero/isZeroExp,2.2334739687601738e-7,2.072696588968903e-7,2.508955583628126e-7,6.246859131703202e-8,4.181101797517951e-8,8.846609374414367e-8
pred/predHs,2.5512614626221703e-8,2.349630823833158e-8,2.8391023647855684e-8,8.239702225197843e-9,4.834598662843854e-9,1.2727190786303193e-8
pred/*predExp,5.040392979924695e-6,4.6428257758974795e-6,5.695492204689957e-6,1.7366605924608086e-6,1.1168608099469389e-6,2.548716683983634e-6
pred/predExp,2.8247787083232904e-4,2.6062013823933635e-4,3.2031708976474563e-4,8.64939875166333e-5,5.929977774704749e-5,1.216068422403068e-4
fib/fibHs,6.101364915121181e-6,5.3209507872380026e-6,7.3187344969209015e-6,3.714781455601788e-6,2.9868845376840027e-6,4.854002112625795e-6
fib/*fibExp,1.9353375222181549e-3,1.8846325649319506e-3,1.97923173396595e-3,1.5583087222340223e-4,1.2700486510814843e-4,1.924778043082807e-4
fib/fibExp,3.5237199019418186e-2,3.335217172931249e-2,3.775326903044874e-2,4.709395521520544e-3,3.4529875726749806e-3,6.9030542868854464e-3
add/addHs,1.2528691857891983e-7,1.2188655099261628e-7,1.2999842134463006e-7,1.3673020692247492e-8,1.045231788634831e-8,1.972188791251001e-8
add/*addExp,4.312136415059974e-6,4.189876543374861e-6,4.459890407819927e-6,4.6564943463105495e-7,3.7278824088568027e-7,5.960382876428574e-7
add/addExp,3.3770036836357223e-6,2.88820638264242e-6,4.144308536321161e-6,2.3762301200075e-6,1.8029498738482348e-6,3.0416163463834175e-6
double/doubleHs,1.2027167647436372e-7,1.1234228070181981e-7,1.4910004477253445e-7,4.387415629895716e-8,1.5015174929044062e-8,8.847770507474449e-8
double/*doubleExp,4.738322954643597e-6,4.235360947499672e-6,5.558057715517128e-6,2.18267017253702e-6,1.4800412367558864e-6,3.2515286947697554e-6
double/doubleExp,1.8366618268572403e-6,1.7592908314533804e-6,2.0116031037297014e-6,3.8178164055135057e-7,2.1135260944304607e-7,6.904048157683719e-7
expo/expoHs,1.8614986990381746e-7,1.823408237629471e-7,1.9218199375960254e-7,1.6079357780170124e-8,1.1224104131810734e-8,2.6010979166114957e-8
expo/*doubleExp,2.6739605330940947e-5,2.651232253150991e-5,2.703785815737531e-5,8.312943292746704e-7,6.422323118668896e-7,1.185466181448281e-6
expo/doubleExp,1.3084423791986913e-5,1.2935095027988978e-5,1.3344132550234216e-5,6.293355795617476e-7,4.6422989714150624e-7,8.751541622388178e-7
fac/facHs,5.9210269882967865e-8,5.793108593737947e-8,6.035303200032072e-8,3.990092333076763e-9,3.253145825731996e-9,5.2215140372081524e-9
fac/*facExp,3.0357645077777207e-2,2.992653479566111e-2,3.071986373971935e-2,9.550480359205544e-4,6.944371375386158e-4,1.3391611172617595e-3
fac/facExp,2.695125688218456e-3,2.6402100892246485e-3,2.7649423732010376e-3,2.087008755631338e-4,1.6577765466451645e-4,3.052153045810514e-4
mul/mulHs,2.7908913471780255e-6,2.749796890708921e-6,2.833815086611157e-6,1.34207624734287e-7,1.1069770013410965e-7,1.7060575648627423e-7
mul/*mulExp,6.732624763186368e-3,6.685210407116779e-3,6.84299902177657e-3,2.1613733289183444e-4,9.489906806940055e-5,3.728275985273967e-4
mul/mulExp,3.8484312310815216e-5,3.7848456275414465e-5,4.0018783484657e-5,3.339460684926985e-6,1.3998888516181048e-6,5.343465872811603e-6
tet/tetHs,4.827172345655754e-7,4.7408700702005004e-7,4.991824293240864e-7,4.165899544876914e-8,2.5236666097559765e-8,6.913204135385543e-8
tet/*tetExp,2.1787074014785937e-4,2.1633481143864056e-4,2.2102143274759566e-4,7.2977106572350775e-6,4.744103039543412e-6,1.1458398014121631e-5
tet/tetExp,4.127060360142444e-5,4.0067098115115426e-5,4.388703098536372e-5,5.914861649362596e-6,2.058912132773959e-6,9.716635588423433e-6
Add in L5 VS Add in L6/L5 Add,9.06351077506674e-7,8.873810867920064e-7,9.590264121527805e-7,9.765117618118136e-8,5.807133548733561e-8,1.6624140346202017e-7
Add in L5 VS Add in L6/*L6 Add,4.215263003327783e-6,4.069098150353106e-6,4.662585687540648e-6,8.16539432191064e-7,3.05598167387988e-7,1.620953532773946e-6
Add in L5 VS Add in L6/L6 Add,3.252811824708139e-6,2.9924060746407022e-6,3.6116028488461567e-6,1.03203003618579e-6,8.721881848852612e-7,1.3158382726693764e-6
